,date,closing,adjusted,evolution,quantity,volume
460,03/02/2021,46.5,34.88,-0.85,431.0,20091.43
461,02/02/2021,46.9,35.18,-0.21,22.0,1031.8
462,01/02/2021,47.0,35.25,3.07,25.0,1175.0
463,29/01/2021,45.6,34.2,-3.8,7383.0,336886.4
464,28/01/2021,47.4,35.55,0.11,837.0,39099.53
465,27/01/2021,47.35,35.52,-0.08,904.0,42558.1
466,26/01/2021,47.39,35.55,0.83,23470.0,1103098.92
467,25/01/2021,47.0,35.25,0.0,26.0,1213.0
468,22/01/2021,47.0,35.25,-0.49,33.0,1551.9
469,21/01/2021,47.23,35.43,0.53,819.0,37994.6
470,20/01/2021,46.98,35.24,-0.66,980.0,45505.31
471,19/01/2021,47.29,35.47,1.63,1620.0,75346.11
472,18/01/2021,46.53,34.9,1.13,1725.0,79392.0
473,15/01/2021,46.01,34.51,-1.48,77739.0,3549883.34
474,14/01/2021,46.7,35.03,-3.69,5399.0,251862.2
475,13/01/2021,48.49,36.37,0.19,50.0,2424.5
476,12/01/2021,48.4,36.3,0.0,0.0,0.0
477,08/01/2021,48.4,36.3,0.0,0.0,0.0
478,07/01/2021,48.4,36.3,-0.19,10.0,484.0
479,06/01/2021,48.49,36.37,0.0,5.0,242.45
480,05/01/2021,48.49,36.37,2.06,16.0,775.84
481,04/01/2021,47.51,35.64,-2.02,84.0,3990.84
482,31/12/2020,48.49,36.37,-1.62,2.0,96.98
483,30/12/2020,49.29,36.97,-0.18,1564.0,74295.46
484,29/12/2020,49.38,37.04,0.0,0.0,0.0
485,28/12/2020,49.38,37.04,0.0,0.0,0.0
486,25/12/2020,49.38,37.04,-0.02,615.0,30325.08
487,24/12/2020,49.39,37.05,1.44,1480.0,72136.2
488,23/12/2020,48.69,36.52,0.0,0.0,0.0
489,22/12/2020,48.69,36.52,3.6,87.0,4133.87
490,21/12/2020,47.0,35.25,-3.09,1634.0,76916.37
491,18/12/2020,48.5,36.38,1.57,801.0,38112.16
492,17/12/2020,47.75,35.82,0.1,2018.0,96359.5
493,16/12/2020,47.7,35.78,-2.25,11131.0,531585.1
494,15/12/2020,48.8,36.6,1.67,10.0,487.0
495,14/12/2020,48.0,36.0,0.0,3914.0,188217.15
496,11/12/2020,48.0,36.0,-2.02,9966.0,476755.22
497,10/12/2020,48.99,36.75,0.18,120.0,5879.94
498,09/12/2020,48.9,36.68,-0.2,3.0,146.7
499,08/12/2020,49.0,36.75,1.03,670.0,32597.2
500,07/12/2020,48.5,36.38,1.68,133.0,6449.45
501,04/12/2020,47.7,35.78,0.4,20.0,954.0
502,03/12/2020,47.51,35.64,0.0,0.0,0.0
503,02/12/2020,47.51,35.64,0.02,9.0,427.59
504,01/12/2020,47.5,35.63,-1.04,15750.0,749195.85
505,30/11/2020,48.0,36.0,0.0,553.0,26644.9
506,27/11/2020,48.0,36.0,-2.04,613.0,29437.2
507,26/11/2020,49.0,36.75,1.45,44.0,2156.0
508,25/11/2020,48.3,36.23,0.21,48.0,2318.1
509,24/11/2020,48.2,36.15,-2.67,117049.0,5636610.5
510,23/11/2020,49.52,37.14,-0.66,9539.0,477006.06
511,20/11/2020,49.85,37.39,0.0,0.0,0.0
512,19/11/2020,49.85,37.39,3.32,40.0,1955.6
513,17/11/2020,48.25,36.19,-0.08,551.0,26282.75
